fold,classifier,splitter,window,overlap,train_subject_ratio,repeat,score,eval_score,score_balanced_arousal,score_balanced_valence,eval_score_balanced_arousal,eval_score_balanced_valence,score_precision,eval_score_precision,score_recall,eval_score_recall,type
1,0,0,6,0.0,0.75,0,0.44957472660996356,0.39504373177842567,0.6629577132057642,0.6433418527327157,0.5816326530612245,0.6296518607442977,0.6478065025136692,0.6350683970169264,0.7168450023871711,0.7295060881495455,raw
2,0,0,6,0.0,0.75,0,0.4738760631834751,0.4227405247813411,0.6815663902865376,0.6528967864698443,0.5962099125364432,0.6539343009931244,0.6516622340425532,0.6498894916616436,0.7423273363088391,0.7525295832618761,raw
3,0,0,6,0.0,0.75,0,0.4957472660996355,0.40816326530612246,0.7020223726466339,0.6727156984662759,0.5954810495626822,0.6468405544035796,0.7046570464767616,0.6473003053284743,0.733785392355353,0.7424541245069456,raw
4,0,0,6,0.0,0.75,0,0.4908869987849332,0.40597667638483964,0.6975478790048326,0.6778174434024817,0.6013119533527697,0.6468405544035796,0.7122995123062427,0.6527782656406091,0.7073138950208486,0.7242325501629223,raw
5,0,0,6,0.0,0.75,0,0.4720873786407767,0.41180758017492713,0.6807314140199476,0.6771844660194175,0.597667638483965,0.6428025755756848,0.668795086761552,0.6456746985778595,0.7265218791699259,0.7481564054193106,raw
6,0,0,6,0.0,0.75,0,0.4556500607533414,0.3892128279883382,0.6706940286844352,0.6579263648912371,0.5852769679300291,0.637345847429881,0.6997579608199077,0.6455270828762432,0.705125250837726,0.6942634196535757,raw
7,0,0,6,0.0,0.75,0,0.488456865127582,0.40233236151603496,0.6803204983147338,0.6596955478602073,0.5983965014577259,0.63292589763178,0.6755218216318786,0.644190058021013,0.7399487011684733,0.7293345909792488,raw
8,0,0,6,0.0,0.75,0,0.456865127582017,0.4103498542274053,0.6793838581509815,0.6109595148920992,0.5911078717201166,0.6460766124631672,0.6676467734109656,0.6462991968540674,0.6865194192191268,0.735594237695078,raw
9,0,0,6,0.0,0.75,0,0.4532199270959903,0.4001457725947522,0.6769305876087343,0.6514172436238831,0.5903790087463556,0.6353268580159337,0.6691934261627356,0.6406821203057494,0.7151162790697674,0.7397530440747728,raw
0,0,0,10,0.0,0.25,0,0.4539877300613497,0.2594417077175698,0.6036377708978328,0.66808381415123,0.5707288401253918,0.5135116115411682,0.6634645919339472,0.5905042960855378,0.6288762446657183,0.5421838014202546,raw
1,0,0,10,0.0,0.25,0,0.38650306748466257,0.2746305418719212,0.6048387096774194,0.6779935275080906,0.5878526645768025,0.4980295566502463,0.6045104510451045,0.5881043968332066,0.6881720430107527,0.5814487236901029,raw
2,0,0,10,0.0,0.25,0,0.3148148148148148,0.2602627257799672,0.49006211180124226,0.6472222222222223,0.5858934169278998,0.502603800140746,0.5888235294117647,0.5931363203050524,0.5960144927536233,0.5384972170686456,raw
3,0,0,10,0.0,0.25,0,0.38271604938271603,0.2524630541871921,0.5678160919540229,0.7222052768034162,0.5774686520376175,0.49767769176636173,0.6132593457943925,0.5796582449808256,0.7274261603375527,0.5981143240995458,raw
4,0,0,10,0.0,0.25,0,0.3148148148148148,0.26559934318555006,0.5516768292682928,0.6688311688311688,0.5759404388714734,0.51027445460943,0.550487987987988,0.5882270211414572,0.6941468253968255,0.5812887851065192,raw
5,0,0,10,0.0,0.25,0,0.37423312883435583,0.25862068965517243,0.6203115547489413,0.6572039072039073,0.5776645768025078,0.4992258972554539,0.6275674882629108,0.5830018945107456,0.6561302681992338,0.5762747105111637,raw
