fold,classifier,splitter,window,overlap,train_game_ratio,repeat,score,eval_score,score_balanced_arousal,score_balanced_valence,eval_score_balanced_arousal,eval_score_balanced_valence,score_precision,eval_score_precision,score_recall,eval_score_recall,type
1,0,0,10,0.0,0.5,0,0.5689465581702221,0.2036418015482055,0.6920606656532566,0.732220485415219,0.48706310110250994,0.5427173049419991,0.7571842333672969,0.5407091875319268,0.7064544150060139,0.5059746657283604,features
2,0,0,10,0.0,0.5,0,0.5704860347481856,0.2037737508796622,0.6869364261939475,0.7257461395511524,0.47685901946985687,0.5405641188622279,0.7464610401385792,0.5327298601269954,0.7009209824726357,0.5090710767065447,features
3,0,0,10,0.0,0.5,0,0.5588299978007477,0.20153061224489796,0.6829604145710647,0.719788406998135,0.47690593478770815,0.5396837756237088,0.7583233716767459,0.531618154748721,0.689329876719486,0.500112596762843,features
4,0,0,10,0.0,0.5,0,0.5597096987024411,0.20271815622800846,0.6947092758583417,0.7140266726597662,0.4739150832746892,0.5385030986810742,0.7584577170555007,0.5293538235636074,0.6961387791976001,0.4982054890921886,features
0,0,0,10,0.0,0.75,0,0.5629673068465034,0.10116115411681914,0.658768616320187,0.6664479687990355,0.4749384236453202,0.5273777946191739,0.7427216326722561,0.1743598464111495,0.9005857734361313,0.8137315270935961,features
1,0,0,10,0.0,0.75,0,0.5666324585837854,0.0979064039408867,0.6590520809738856,0.6695303702139639,0.4692426108374384,0.5304092459264873,0.7521787837268352,0.17290277143960403,0.8935548298060192,0.8034174876847291,features
2,0,0,10,0.0,0.75,0,0.5613546400820995,0.10098522167487685,0.6541010855522194,0.6655175705154617,0.4731527093596059,0.5311671087533156,0.7450915330047211,0.1741276364211523,0.8918412859174296,0.8115763546798029,features
3,0,0,10,0.0,0.75,0,0.5723500952939452,0.10098522167487685,0.6578271640934128,0.6747225644384003,0.46979679802955665,0.5305513452065176,0.7524948677807812,0.17316377082426776,0.8963909530931307,0.8080357142857143,features
4,0,0,10,0.0,0.75,0,0.5661290322580645,0.09913793103448276,0.657568541797793,0.6753941868305665,0.46804187192118224,0.5185202728306176,0.7502336229814415,0.171801181948243,0.8963746216564626,0.8011083743842364,features
0,0,0,20,0.0,0.25,0,0.860655737704918,0.19661078717201166,0.5899603243056754,0.7273982095472036,0.49990188383045525,0.5102332695091767,0.9306920632574638,0.41929179840817776,0.992946904872722,0.9823106874328679,features
1,0,0,20,0.0,0.25,0,0.860655737704918,0.1974611273080661,0.5677074348801103,0.7215150528403541,0.5016679748822606,0.5096232428898333,0.9324845842004816,0.41955774320664335,0.9913109398089166,0.9810351772287862,features
2,0,0,20,0.0,0.25,0,0.8588342440801457,0.19685374149659865,0.5526402934508495,0.7141414141414142,0.5015391974097331,0.5095415168355671,0.9294317048670853,0.41949550841835115,0.9930306838412399,0.9823987983351234,features
3,0,0,20,0.0,0.25,0,0.854147675478578,0.1966715257531584,0.5588235294117647,0.7152612983177767,0.5011835262951334,0.5100931677018633,0.9257924327834017,0.4195565129374915,0.9943310657596371,0.9825414540816326,features
4,0,0,20,0.0,0.25,0,0.8678213309024613,0.19727891156462585,0.5135135135135135,0.724795519203414,0.500459919544741,0.5093722271517303,0.9337261936817285,0.41919638282261995,0.9950657894736843,0.9827008928571428,features
0,0,0,20,0.0,0.5,0,0.5851548269581056,0.2017128279883382,0.703160499837715,0.7457950660274342,0.47478134110787173,0.5341507570770243,0.7756386631587782,0.529749360192794,0.7120231142587845,0.5079446064139942,features
1,0,0,20,0.0,0.5,0,0.5799544419134396,0.2002551020408163,0.6984701684111,0.7294070876874148,0.4780855199222546,0.5302238314680711,0.7641070087563886,0.5304184553978365,0.7113775006728268,0.5030466472303207,features
2,0,0,20,0.0,0.5,0,0.5722095671981777,0.20608600583090378,0.6962509586655715,0.7298402400812039,0.48015063168124394,0.535184331797235,0.7431900511698935,0.5338407999647592,0.7212852450742655,0.5173177842565597,features
3,0,0,20,0.0,0.5,0,0.5785876993166287,0.20143950437317784,0.7034010358604709,0.7231918963789739,0.483041788143829,0.5302304147465438,0.7697870311506675,0.533937947130973,0.7117300255349188,0.5086443148688047,features
4,0,0,20,0.0,0.5,0,0.6095671981776766,0.19970845481049562,0.7248417069424151,0.7471035307873726,0.4752186588921283,0.5314516129032258,0.7764782497733893,0.5287116420317659,0.7378172075624305,0.5059766763848397,features
0,0,0,20,0.0,0.75,0,0.5599757060431217,0.15160349854227406,0.6846953730197501,0.7294764295358593,0.5932539682539683,0.6079636202307009,0.7387587622647384,0.9467969792795778,0.5555742059863925,0.336931874198955,features
1,0,0,20,0.0,0.75,0,0.545095657455208,0.1568877551020408,0.6694955880488328,0.7244348092027733,0.5893801965230536,0.5966503992901508,0.7127622437163681,0.9414195811196608,0.5495679440367939,0.33960202438463305,features
2,0,0,20,0.0,0.75,0,0.5466140297600972,0.15415451895043733,0.6757262610203787,0.7254979562947235,0.5921201814058956,0.6107808340727596,0.7337835888324488,0.9494467063367784,0.5457116150448207,0.3314724440500838,features
3,0,0,20,0.0,0.75,0,0.5359854236258731,0.1441326530612245,0.6736604895421955,0.725634171966128,0.5840891912320484,0.6103815439219166,0.7294698291429631,0.9489181494218502,0.5458317567425532,0.3235523678070262,features
4,0,0,20,0.0,0.75,0,0.5558930741190765,0.14959912536443148,0.6762310961129858,0.7445165900626114,0.5696334089191232,0.6136867790594499,0.7367007555484839,0.9451200884479423,0.5629643266241204,0.33893243287653224,features
0,0,0,60,0.0,0.25,0,0.8248407643312102,0.05187074829931973,0.6930795847750866,0.6462121212121212,0.5096595655806182,0.5120035142203334,0.7982202982202982,0.6466335640679312,0.6962121212121213,0.49968671679197996,features
1,0,0,60,0.0,0.25,0,0.7961783439490446,0.05123299319727891,0.7424242424242424,0.5866767873924673,0.5106342244500139,0.5115744524354364,0.9283333333333333,0.654396047360018,0.7347614071752002,0.499765037593985,features
2,0,0,60,0.0,0.25,0,0.8471337579617835,0.05442176870748299,0.9252380952380952,0.62058121882455,0.5108430799220273,0.5106550343249427,0.8622448979591837,0.6439410929206848,0.9170771756978653,0.49890350877192985,features
3,0,0,60,0.0,0.25,0,0.7635782747603834,0.0508078231292517,0.717391304347826,0.587531017369727,0.5108256752993595,0.508131742399477,0.9117647058823529,0.658637350068917,0.6972300140252454,0.4962406015037594,features
4,0,0,60,0.0,0.25,0,0.8210862619808307,0.04825680272108843,0.7613275039745628,0.6277192045909515,0.5093636869952659,0.5097049689440993,0.8357120695004654,0.6467443339204666,0.7568318666049096,0.4981203007518797,features
0,0,0,60,0.0,0.5,0,0.6321656050955414,0.21747448979591838,0.7279002026342452,0.778797402053216,0.4916294642857143,0.5388392857142856,0.7552144320843092,0.5517977270619302,0.8066654296552862,0.6383928571428572,features
1,0,0,60,0.0,0.5,0,0.645933014354067,0.21556122448979592,0.7637085137085137,0.7712942477876106,0.4854910714285714,0.5407738095238095,0.8269177660229856,0.5513131428974716,0.7597853535353536,0.6119791666666666,features
2,0,0,60,0.0,0.5,0,0.6475279106858054,0.22544642857142858,0.7641156135970808,0.7660091629006178,0.4973028273809524,0.5464285714285715,0.788188761593017,0.5574631988947611,0.7785832582735276,0.6309523809523809,features
3,0,0,60,0.0,0.5,0,0.6251993620414673,0.21619897959183673,0.7455726872246696,0.7495917367518576,0.49702380952380953,0.5451884920634921,0.8043551353810249,0.5572434276971989,0.7525675675675676,0.6140873015873016,features
4,0,0,60,0.0,0.5,0,0.6379585326953748,0.21141581632653061,0.7749385749385749,0.7316202090592334,0.49376860119047616,0.5315972222222223,0.8037491143218016,0.5493608141770112,0.745195147634172,0.6102430555555556,features
0,0,0,60,0.0,0.75,0,0.5568544102019128,0.09056122448979592,0.6687232355273592,0.7040013679890561,0.5508241758241759,0.6043478260869566,0.7531782899495201,0.48323139125025916,0.7618099547511312,0.7373835403726707,features
1,0,0,60,0.0,0.75,0,0.5664187035069076,0.08545918367346939,0.6525569448277326,0.7317278911564626,0.5357142857142857,0.5863354037267081,0.7670914437753815,0.477381993006993,0.776783105880389,0.704192546583851,features
