fold;classifier;splitter;window;overlap;repeat;score;score_balanced_arousal;score_balanced_valence;score_precision;score_recall;type
7;2;1;10;0;0;0.3997140972069496;0.5836810055800886;0.6176591717761545;0.6252523824127794;0.6501967977063732;features
8;2;1;10;0;0;0.39025731251374535;0.5914274045215016;0.6006125778404907;0.6215409943172471;0.6448911627334523;features
9;2;1;10;0;0;0.39806465801627444;0.5871227924501907;0.6093140285649608;0.6230565614990653;0.6493356903673492;features
0;2;1;20;0;0;0.38897745388294236;0.5885160724384324;0.6054245085738186;0.6219512844757554;0.6483026416766707;features
1;2;1;20;0;0;0.3839672056479162;0.5882948285353695;0.6002042618299116;0.618837825357625;0.6509416928022072;features
2;2;1;20;0;0;0.39134396355353074;0.5829007380000066;0.6078147815020016;0.6195963568280858;0.6517743694274521;features
3;2;1;20;0;0;0.3979498861047836;0.586671706558409;0.6130182406134058;0.6239007197081732;0.6544481251058251;features
4;2;1;20;0;0;0.4018223234624146;0.5930287477303245;0.6207515091715661;0.6309696007723418;0.6556043225216047;features
5;2;1;20;0;0;0.39603734912320654;0.5955784409150056;0.6134150982852363;0.6293505398110661;0.6514112089161783;features
6;2;1;20;0;0;0.3907993623320428;0.5796159049137257;0.6133071761633324;0.6207786907181188;0.6514331349490374;features
7;2;1;20;0;0;0.3867881548974943;0.5832660330168414;0.603070564977177;0.6174775231546047;0.651039835079356;features
8;2;1;20;0;0;0.3804100227790433;0.5737202810128184;0.5999421710018539;0.6136485454497191;0.6326822650973445;features
9;2;1;20;0;0;0.4020501138952164;0.5956276731067893;0.6184265281950887;0.6305811842530651;0.6589643068120237;features
0;2;1;30;0;0;0.35990081473609636;0.5593693367162016;0.5969071862437278;0.6054393682653318;0.6258876039764658;features
1;2;1;30;0;0;0.37690400283386466;0.582671073454973;0.5932498621181685;0.6157768899487097;0.6277983092304962;features
2;2;1;30;0;0;0.3628632175761871;0.5645072573560819;0.5884716550762135;0.6041663065799165;0.6234471199860594;features
3;2;1;30;0;0;0.3972360028348689;0.5856023484659214;0.6246067811113165;0.6279950120245836;0.6596330443935197;features
4;2;1;30;0;0;0.39156626506024095;0.5782099040624237;0.6195104415342435;0.6253039738400832;0.6369529196650738;features
5;2;1;30;0;0;0.38292596528515765;0.5801853026458862;0.6199570774195049;0.6243343213089472;0.651722345233348;features
6;2;1;30;0;0;0.37725823591923485;0.5865160230983897;0.5894329388310657;0.6145699806928195;0.6370905891807892;features
7;2;1;30;0;0;0.37491141034727143;0.5616230526833279;0.6024599439506442;0.607368323266184;0.6397907251458199;features
8;2;1;30;0;0;0.3816442239546421;0.5770358676993255;0.6063958036399171;0.6175338370790371;0.639666380908431;features
9;2;1;30;0;0;0.3880226789510985;0.5839261111908702;0.6084752499310142;0.6224243028012477;0.6394160363576062;features
0;2;1;60;0;0;0.32270916334661354;0.5360436206905336;0.5650718242226296;0.581572517507786;0.5905139048006618;features
1;2;1;60;0;0;0.349003984063745;0.5448993209961439;0.5824538359910283;0.5899955020446099;0.642032937866603;features
2;2;1;60;0;0;0.33891547049441784;0.5574074074074074;0.546808532460839;0.5819612728812456;0.6075180797728381;features
3;2;1;60;0;0;0.33891547049441784;0.5382154882154881;0.5717718010323263;0.585647412060682;0.5930476063711789;features
4;2;1;60;0;0;0.34290271132376393;0.5603459932189208;0.585092552943258;0.6013025740895412;0.6179210699437163;features
