fold,classifier,splitter,window,overlap,repeat,score,score_balanced_arousal,score_balanced_valence,score_precision,score_recall,type
9,2,1,6,0,0,0.3764813126709207,0.5674043460871884,0.6003914182880812,0.5925550924963312,0.8219193962544125,raw
0,2,1,10,0,0,0.37384615384615383,0.5295340624287993,0.5906531531531531,0.5731900589517888,0.8991228070175439,raw
1,2,1,10,0,0,0.35384615384615387,0.539249389844351,0.533831500992518,0.5570672713529856,0.9016364415015401,raw
2,2,1,10,0,0,0.34307692307692306,0.5119941880893819,0.5897083524202168,0.5714347357065803,0.8680552123997298,raw
3,2,1,10,0,0,0.34514637904468415,0.5176581518943939,0.5875937906745272,0.5731184625858761,0.8433725957954376,raw
4,2,1,10,0,0,0.3605546995377504,0.5253979891076666,0.5822033898305086,0.5683673167994172,0.9030394154779064,raw
5,2,1,10,0,0,0.3769230769230769,0.5665394546973495,0.5683310429073141,0.5777061519543913,0.8634156011497671,raw
6,2,1,10,0,0,0.35384615384615387,0.5232239010075878,0.579382348450145,0.5683543588840566,0.8963490965393421,raw
7,2,1,10,0,0,0.3707692307692308,0.5259684143550394,0.5836768972362193,0.5691141180757102,0.9219087150598738,raw
8,2,1,10,0,0,0.3605546995377504,0.5168247709392918,0.5803872214991195,0.5650026880870308,0.9144219140864437,raw
9,2,1,10,0,0,0.3559322033898305,0.5364474235441977,0.5819209039548023,0.5736505196533247,0.8734860910913399,raw
0,2,1,20,0,0,0.34076433121019106,0.5040065080333537,0.5533472375577639,0.5525986668213876,0.9179160021265285,raw
1,2,1,20,0,0,0.3375796178343949,0.5093210680560079,0.5371324581850898,0.5496252388184,0.9321320369196082,raw
2,2,1,20,0,0,0.3503184713375796,0.5,0.5563325563325563,0.553304594221501,0.9444444444444444,raw
3,2,1,20,0,0,0.3514376996805112,0.5104832104832104,0.5359111476758536,0.5474837662337662,0.973440285204991,raw
4,2,1,20,0,0,0.3035143769968051,0.50396955311835,0.5378469648299151,0.5478475707559374,0.9120310939951505,raw
5,2,1,20,0,0,0.34076433121019106,0.5040065080333537,0.5324295587453483,0.545470463217891,0.9354598617756513,raw
6,2,1,20,0,0,0.3375796178343949,0.5007326603712146,0.5592565329407435,0.5542888563049854,0.9413443246670894,raw
7,2,1,20,0,0,0.3248407643312102,0.4977206121784435,0.5858994806363227,0.5655161598448883,0.8915486507433241,raw
8,2,1,20,0,0,0.3354632587859425,0.5033783783783784,0.5379679144385027,0.5469509579639691,0.9470588235294117,raw
9,2,1,20,0,0,0.34824281150159747,0.5176992961204779,0.5247714356313319,0.5464858688555172,0.9557659392383397,raw
